year,spl_adjusted,spp_adjusted,price_diff,price_diff_adjusted,percent_increase,percent_increase_adjusted,days_between_sales
2011,339200,246401,95999,92799,43,38,313
2011,344748,398537,-50744,-53789,-14,-14,118
2011,451560,473000,-4000,-21440,-1,-5,328
2011,305471,305471,0,0,0,0,138
2011,180663,180663,0,0,0,0,130
2011,127200,170500,-35000,-43300,-23,-25,226
2011,448645,605000,-126750,-156355,-23,-26,354
2011,90100,111525,-20212,-21425,-19,-19,147
2011,73140,141752,-59865,-68612,-46,-48,247
2011,87026,173250,-75400,-86224,-48,-50,245
2011,220480,353178,-113071,-132698,-35,-38,281
2011,136740,147418,-10074,-10678,-7,-7,91
2011,70490,220537,-133988,-150047,-67,-68,199
2011,182532,182532,0,0,0,0,31
2011,156476,201025,-35131,-44549,-19,-22,277
2011,180730,108273,72070,72457,73,67,316
2011,189210,55000,128500,134210,257,244,354
2011,94340,243774,-132613,-149434,-60,-61,344
2011,320120,310050,9500,10070,3,3,31
2011,220480,55000,158000,165480,316,301,218
2011,242740,110000,129000,132740,129,121,322
2011,286200,265000,20000,21200,8,8,13
2011,78970,133110,-46509,-54140,-38,-41,160
2011,85330,142670,-49200,-57340,-38,-40,352
2011,69960,113685,-41250,-43725,-38,-38,106
2011,102953,203500,-87875,-100548,-48,-49,254
2011,333900,152350,176500,181550,127,119,162
2011,150520,212723,-58682,-62203,-29,-29,90
2011,184440,265547,-67406,-81107,-28,-31,202
2011,175430,280726,-89705,-105296,-35,-38,196
2011,267226,296800,-27900,-29574,-10,-10,41
2011,80136,252942,-154347,-172806,-67,-68,240
2011,92220,167944,-71438,-75724,-45,-45,75
2011,208820,168540,38000,40280,24,24,118
2011,106000,148280,-34800,-42280,-26,-29,331
2011,630700,371000,245000,259700,70,70,124
2011,148294,127932,19209,20362,16,16,84
2011,66780,173932,-95120,-107152,-60,-62,344
2011,54590,87282,-27847,-32692,-35,-37,287
2011,143100,101200,43000,41900,47,41,320
2011,182320,182252,6316,68,4,0,215
2011,138330,138330,0,0,0,0,5
2011,514100,591800,-53000,-77700,-10,-13,327
2011,101283,123750,-16950,-22467,-15,-18,252
2011,201400,343179,-121981,-141779,-39,-41,357
